,0
Produce,object
Characteristic_1,object
Characteristic_2,object
Characteristic_3,object
Characteristic_4,object
Characteristic_5,object
Characteristic_6,object
Characteristic_7,object
Characteristic_8,object
Characteristic_9,object
Characteristic_10,object
Characteristic_11,object
Water_g,float64
Energ_Kcal,int64
Protein_g,float64
Lipid_Tot_g,float64
Ash_g,float64
Carbohydrt_g,float64
Fiber_TD_g,float64
Sugar_Tot_g,float64
Calcium_mg,float64
Iron_mg,float64
Magnesium_mg,float64
Phosphorus_mg,float64
Potassium_mg,float64
Sodium_mg,float64
Zinc_mg,float64
Copper_mg,float64
Manganese_mg,float64
Selenium_3qtrg,float64
Vit_C_mg,float64
Thiamin_mg,float64
Riboflavin_mg,float64
Niacin_mg,float64
Panto_Acid_mg,float64
Vit_B6_mg,float64
Folate_Tot_3qtrg,float64
Folic_Acid_3qtrg,float64
Food_Folate_3qtrg,float64
Folate_DFE_3qtrg,float64
Choline_Tot__mg,float64
Vit_B12_3qtrg,float64
Vit_A_IU,float64
Vit_A_RAE,float64
Retinol_3qtrg,float64
Alpha_Carot_3qtrg,float64
Beta_Carot_3qtrg,float64
Beta_Crypt_3qtrg,float64
Lycopene_3qtrg,float64
Lut_Zea__3qtrg,float64
Vit_E_mg,float64
Vit_D_3qtrg,float64
Vit_D_IU,float64
Vit_K_3qtrg,float64
FA_Sat_g,float64
FA_Mono_g,float64
FA_Poly_g,float64
Cholestrl_mg,float64
GmWt_1,float64
GmWt_Desc1,object
GmWt_2,float64
GmWt_Desc2,object
