Produce,Sodium_mg,Saturated_Fat_g,Cholesterol_mg
"ABALONE MIXED SPECIES",301,0.15,85
"ABALONE MXD SP",591,1.65,94
"ABIYUCH RAW",20,0.01,0
"ACEROLA (WEST INDIAN CHERRY)",7,0.07,0
"ACEROLA JUICE RAW",3,0.07,0
"ACORN FLOUR FULL FAT",0,3.92,0
"ACORN STEW (APACHE)",130,1.28,20
"ACORNS DRIED",0,4.08,0
"ACORNS RAW",0,3.1,0
"AGAVE CKD (SOUTHWEST)",13,0,0
"AGAVE DRIED (SOUTHWEST)",14,0,0
"AGAVE RAW (SOUTHWEST)",14,0,0
"AGUTUK FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",24,8.6,26
"AGUTUK FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",21,7.7,10
"AGUTUK MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",95,5.1,89
"ALCOHOLIC BEV BEER",3.43,0,0
"ALCOHOLIC BEV CREME DE MENTHE",5,0.01,0
"ALCOHOLIC BEV DAIQUIRI",22.5,0,0
"ALCOHOLIC BEV DISTILLED",1,0,0
"ALCOHOLIC BEV DISTILLED ALL (GIN",1,0,0
"ALCOHOLIC BEV LIQUEUR",36,3.29,19.33
"ALCOHOLIC BEV MALT BEER",5,0,0
"ALCOHOLIC BEV PINA COLADA",38.5,4.1,0
"ALCOHOLIC BEV RICE (SAKE)",2,0,0
"ALCOHOLIC BEV TEQUILA SUNRISE",57,0,0
"ALCOHOLIC BEV WHISKEY SOUR",43,0,0
"ALCOHOLIC BEV WINE",19.26,0,0
"ALCOHOLIC BEVERAGES BEER",4,0,0
"ALCOHOLIC BEVERAGES WINE",5,0,0
"ALFALFA SEEDS SPROUTED",6,0.07,0
"ALLSPICE GROUND",77,2.55,0
"ALMOND BUTTER PLN",117,5.35,0
"ALMOND PASTE",9,2.63,0
ALMONDS,1,3.8,0
"ALMONDS BLANCHED",19,3.95,0
"ALMONDS DRY RSTD",250.5,4.09,0
"ALMONDS HONEY RSTD",130,4.73,0
"ALMONDS OIL RSTD",170,4.21,0
"AMARANTH GRAIN CKD",6,0,0
"AMARANTH GRAIN UNCKD",4,1.46,0
"AMARANTH LEAVES CKD",139,0.05,0
"AMARANTH LEAVES RAW",20,0.09,0
"ANCHOVY EUROPEAN",1886,1.74,72.5
"ANDREA'S GLUTEN FREE SOFT DINNER ROLL",544,0,0
"ANIMAL FAT BACON GREASE",150,39,95
"ANISE SEED",16,0.59,0
"APPLE JUC CND OR BTLD",4.33,0.02,0
"APPLE JUC FRZ CONC",16,0.04,0
"APPLEBEE'S 9 OZ HOUSE SIRLOIN STEAK",604,3.48,79
"APPLEBEE'S CHICK TENDERS",763,2.85,51
"APPLEBEE'S CHICK TENDERS PLATTER",740,2.85,52
"APPLEBEE'S CHILI",381,4.15,45
"APPLEBEE'S COLESLAW",178,1.06,2
"APPLEBEE'S CRUNCHY ONION RINGS",833,3.57,0
"APPLEBEE'S DOUBLE CRUNCH SHRIMP",838,3.37,86
"APPLEBEE'S FISH",607,1.61,34
"APPLEBEE'S FRENCH FR",618,2.33,1
"APPLEBEE'S KRAFT",288,1.31,7
"APPLEBEE'S MOZZARELLA STKS",838,6.73,33
"APPLES CND",3,0.08,0
"APPLES DEHYD (LO MOIST)",75,0.06,0
"APPLES DRIED",42,0.02,0
"APPLES FRZ",3,0.05,0
"APPLES RAW",1,0.02,0
"APPLESAUCE CND",8.5,0.02,0
"APRICOT NECTAR CND",3,0.01,0
"APRICOTS CND",6.22,0.01,0
"APRICOTS DEHYD (LOW-MOISTURE)",9,0.03,0
"APRICOTS DRIED",5.67,0.01,0
"APRICOTS FROZEN",4,0.01,0
"APRICOTS RAW",1,0.03,0
"ARBY'S RST BF SNDWCH",653,3.4,30
"ARCHWAY Home Style Cookies  Chocolate Chip Ice Box",270,8.08,13
"ARCHWAY Home Style Cookies  Coconut Macaroon",200,20.1,0
"ARCHWAY Home Style Cookies  Date Filled Oatmeal",331,2.76,6
"ARCHWAY Home Style Cookies  Dutch Cocoa",384,3.62,7
"ARCHWAY Home Style Cookies  Iced Molasses",605,4.16,12
"ARCHWAY Home Style Cookies  Iced Oatmeal",377,4.61,8
"ARCHWAY Home Style Cookies  Molasses",577,2.81,25
"ARCHWAY Home Style Cookies  Oatmeal",394,3.2,10
"ARCHWAY Home Style Cookies  Oatmeal Raisin",339,2.75,8
"ARCHWAY Home Style Cookies  Old Fashioned Molasses",561,2.77,25
"ARCHWAY Home Style Cookies  Old Fashioned Windmill Cookies",471,3.75,1
"ARCHWAY Home Style Cookies  Reduced Fat Ginger Snaps",406,2.6,1
"ARCHWAY Home Style Cookies  Strawberry Filled",377,5.16,6
"ARCHWAY HOME STYLE COOKIES FROSTY LEMON",449,5.83,0
"ARCHWAY HOME STYLE COOKIES PNUT BUTTER",404,5.39,37
"ARCHWAY HOME STYLE COOKIES RASPBERRY FILLED",334,5.16,6
"ARCHWAY HOME STYLE COOKIES SUGAR FREE OATMEAL",308,4.9,0
"ARROWHEAD CKD",136,0,0
"ARROWHEAD RAW",22,0,0
"ARROWROOT FLOUR",2,0.02,0
"ARROWROOT RAW",26,0.04,0
"ARTICHOKES (GLOBE OR FRENCH)",139.83,0.09,0
"ARTIFICIAL BLUEBERRY MUFFIN MIX DRY",760,1.86,0
"ARUGULA RAW",27,0.09,0
"ASCIDIANS (TUNUGHNAK) (ALASKA NATIVE)",656,0.1,7
"ASPARAGUS CKD",127,0.05,0
"ASPARAGUS CND",199,0.08,0
"ASPARAGUS FRZ",83.67,0.08,0
"ASPARAGUS RAW",2,0.04,0
"AUSTIN CHEDDAR CHS ON CHS CRACKERS",892,5.25,3
"AUSTIN CHEDDAR CHS ON WAFER CRACKERS",978,5.8,3
"AUSTIN CHEDDAR CHS ON WHEAT CRACKERS",839,6.1,3
"AUSTIN CHOCOLATEY PNUT BUTTER CRACKERS",584,4.1,0
"AUSTIN GRILLED CHS ON WAFER CRACKERS",910,5.9,3
"AUSTIN PB & J CRACKERS",582,4.5,0
"AUSTIN PNUT BUTTER ON CHS CRACKERS",784.5,3.3,0
"AUSTIN PNUT BUTTER ON TOASTY CRACKERS",710,3.25,0
"AVOCADOS RAW",5.67,2.07,0
"BABYFD FRU",1,0.12,0
