Produce,Water_in_gms,Energy_Kcal,Protein_in_gms,Total_Lipid_gms,Carbohydrates_in_gms,Fiber_in_gms,Total_Sugar_gms
"ABALONE MIXED SPECIES",74.56,105.0,17.1,0.76,6.01,0,0
"ABALONE MXD SP",60.1,189.0,19.63,6.78,11.05,0,0
"ABIYUCH RAW",79.9,69.0,1.5,0.1,17.6,5.3,8.55
"ACEROLA (WEST INDIAN CHERRY)",91.41,32.0,0.4,0.3,7.69,1.1,0
"ACEROLA JUICE RAW",94.3,23.0,0.4,0.3,4.8,0.3,4.5
"ACORN FLOUR FULL FAT",6,501.0,7.49,30.17,54.65,0,0
"ACORN STEW (APACHE)",79.78,95.0,6.81,3.47,9.22,0.7,0.34
"ACORNS DRIED",5.06,509.0,8.1,31.41,53.66,0,0
"ACORNS RAW",27.9,387.0,6.15,23.86,40.75,0,0
"AGAVE CKD (SOUTHWEST)",65.4,135.0,0.99,0.29,32,10.6,20.87
"AGAVE DRIED (SOUTHWEST)",11.64,341.0,1.71,0.69,81.98,15.6,50.7
"AGAVE RAW (SOUTHWEST)",81.83,68.0,0.52,0.15,16.23,6.6,2.58
"AGUTUK FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",34,470.0,9,43.5,10.5,0,0
"AGUTUK FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",47.3,353.0,3.4,31.8,13.4,0.5,0
"AGUTUK MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",55.2,258.0,21.7,18.6,0.9,0,0
"ALCOHOLIC BEV BEER",94.03,34.7,0.28,0,1.69,0,0.03
"ALCOHOLIC BEV CREME DE MENTHE",28.3,371.0,0,0.3,41.6,0,41.6
"ALCOHOLIC BEV DAIQUIRI",72.17,155.5,0.03,0.03,11.32,0.05,2.79
"ALCOHOLIC BEV DISTILLED",64.01,249.3,0,0,0.02,0,0.01
"ALCOHOLIC BEV DISTILLED ALL (GIN",57.5,295.0,0,0,0,0,0
"ALCOHOLIC BEV LIQUEUR",39.63,323.7,1,5.43,33.3,0,30.09
"ALCOHOLIC BEV MALT BEER",85.74,68.0,0,0,10.07,0,9.77
"ALCOHOLIC BEV PINA COLADA",59.94,205.5,0.51,4.74,25.13,0.2,11.16
