Produce,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mg,Manganese_mg,Selenium_µg
"ABALONE MIXED SPECIES",31,3.19,48,190,250,301,0.82,0.2,0.04,44.8
"ABALONE MXD SP",37,3.8,56,217,284,591,0.95,0.23,0.07,51.8
"ABIYUCH RAW",8,1.61,24,47,304,20,0.31,0.06,0.18,0
"ACEROLA (WEST INDIAN CHERRY)",12,0.2,18,11,146,7,0.1,0.09,0,0.6
"ACEROLA JUICE RAW",10,0.5,12,9,97,3,0.1,0.09,0,0.1
"ACORN FLOUR FULL FAT",43,1.21,110,103,712,0,0.64,0.61,1.74,0
"ACORN STEW (APACHE)",14,1,12,62,110,130,1.6,0.03,0.14,8.3
"ACORNS DRIED",54,1.04,82,103,709,0,0.67,0.82,1.36,0
"ACORNS RAW",41,0.79,62,79,539,0,0.51,0.62,1.34,0
"AGAVE CKD (SOUTHWEST)",460,3.55,39,9,59,13,0.25,0.11,0.14,0.2
"AGAVE DRIED (SOUTHWEST)",770,3.64,207,37,767,14,12.1,0.19,0.34,0.6
"AGAVE RAW (SOUTHWEST)",417,1.8,55,7,127,14,0.15,0.14,0.09,0.4
"AGUTUK FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",0,0.2,16,134,206,24,0.47,0.03,0,0
"AGUTUK FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",8,0.3,7,46,70,21,0.18,0.03,0.13,0
"AGUTUK MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",16,4.55,20,170,228,95,3.83,0.19,0.06,0
"ALCOHOLIC BEV BEER",3.86,0.01,5.71,10,24.43,3.43,0.01,0,0.01,0.2
"ALCOHOLIC BEV CREME DE MENTHE",0,0.07,0,0,0,5,0.04,0.08,0.04,0.4
"ALCOHOLIC BEV DAIQUIRI",1.5,0.05,1.5,3.5,16,22.5,0.04,0.02,0.01,0.1
"ALCOHOLIC BEV DISTILLED",0,0.04,0,3.62,1.5,1,0.03,0.02,0.01,0
"ALCOHOLIC BEV DISTILLED ALL (GIN",0,0.04,0,4,2,1,0.04,0.02,0.02,0
"ALCOHOLIC BEV LIQUEUR",6,0.08,2.67,20.67,30.67,36,0.07,0.04,0.01,0.37
"ALCOHOLIC BEV MALT BEER",4,0.03,4,7,27,5,0.01,0.01,0.01,0.3
"ALCOHOLIC BEV PINA COLADA",4.5,0.12,7,21.5,77,38.5,0.16,0.08,0.42,0.7
"ALCOHOLIC BEV RICE (SAKE)",5,0.1,6,6,25,2,0.02,0.01,0,1.4
"ALCOHOLIC BEV TEQUILA SUNRISE",0,0.02,7,10,10,57,0.6,0.04,0.01,0
"ALCOHOLIC BEV WHISKEY SOUR",12,0.06,1.5,5.25,9.5,43,0.06,0.02,0.01,0.12
"ALCOHOLIC BEV WINE",2.17,0.09,2.66,4.29,24.43,19.26,0.03,0,0.02,0.06
"ALCOHOLIC BEVERAGES BEER",8,0.03,12,32,62,4,0.01,0.01,0.02,0.6
"ALCOHOLIC BEVERAGES WINE",10,0.2,10,18,59,5,0.11,0,0.13,0.2
"ALFALFA SEEDS SPROUTED",32,0.96,27,70,79,6,0.92,0.16,0.19,0.6
"ALLSPICE GROUND",661,7.06,135,113,1044,77,1.01,0.55,2.94,2.7
"ALMOND BUTTER PLN",347,3.49,279,508,748,117,3.29,0.93,2.13,2.4
"ALMOND PASTE",172,1.6,130,258,314,9,1.48,0.45,0.86,4.2
ALMONDS,269,3.71,270,481,733,1,3.12,1.03,2.18,4.1
"ALMONDS BLANCHED",236,3.28,268,481,659,19,2.97,1.03,1.84,3.2
"ALMONDS DRY RSTD",268,3.73,279,471,713,250.5,3.31,1.1,2.23,2
"ALMONDS HONEY RSTD",263,2.83,240,400,560,130,2.6,0.97,2,0
"ALMONDS OIL RSTD",291,3.68,274,466,699,170,3.07,0.96,2.46,4.1
"AMARANTH GRAIN CKD",47,2.1,65,148,135,6,0.86,0.15,0.85,5.5
"AMARANTH GRAIN UNCKD",159,7.61,248,557,508,4,2.87,0.52,3.33,18.7
"AMARANTH LEAVES CKD",209,2.26,55,72,641,139,0.88,0.16,0.86,0.9
