Produce,GmWt_1,GmWt_2,GmWt_Desc1,GmWt_Desc2
"ABALONE MIXED SPECIES",85,0,"3 oz",0
"ABALONE MXD SP",85,0,"3 oz",0
"ABIYUCH RAW",114,0,".5 cup",0
"ACEROLA (WEST INDIAN CHERRY)",98,4.8,"1 cup","1 fruit, without refuse"
"ACEROLA JUICE RAW",242,30.2,"1 cup","1 fl oz"
"ACORN FLOUR FULL FAT",28.35,0,"1 oz",0
"ACORN STEW (APACHE)",0,0,0,0
"ACORNS DRIED",28.35,0,"1 oz",0
"ACORNS RAW",28.35,0,"1 oz",0
"AGAVE CKD (SOUTHWEST)",0,0,0,0
"AGAVE DRIED (SOUTHWEST)",0,0,0,0
"AGAVE RAW (SOUTHWEST)",0,0,0,0
"AGUTUK FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",0,0,0,0
"AGUTUK FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",0,0,0,0
"AGUTUK MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",0,0,0,0
"ALCOHOLIC BEV BEER","29.5 / 29.7 / 29.8 / 356","0 / 354 / 355 / 356 / 357","1 fl oz / 12 fl oz","0 / 1 can / 1 can,  or bottle (12 fl oz) / 12 fl oz"
"ALCOHOLIC BEV CREME DE MENTHE",33.6,50,"1 fl oz","1 jigger,  1.5 fl oz"
"ALCOHOLIC BEV DAIQUIRI","30.2 / 30.5","60 / 207","1 fl oz","1 can,  (6.8 fl oz, 200 ml) / 1 cocktail,  (2 fl oz)"
"ALCOHOLIC BEV DISTILLED",27.8,42,"1 fl oz","1 jigger,  (1.5 fl oz) / 1 Jigger,  1.5 fl oz / 1.5 fl oz"
"ALCOHOLIC BEV DISTILLED ALL (GIN",27.8,42,"1 fl oz","1.5 fl oz"
"ALCOHOLIC BEV LIQUEUR","31.1 / 34.8","47 / 52","1 fl oz","1 serving,  1.5 fl oz / 1.5 fl oz"
"ALCOHOLIC BEV MALT BEER",335,0,"11.2 fl oz",0
"ALCOHOLIC BEV PINA COLADA","31.4 / 32.6","141 / 222","1 fl oz","1 can,  (6.8 fl oz, 200 ml) / 1 cocktail,  (4.5 fl oz)"
"ALCOHOLIC BEV RICE (SAKE)",29.1,0,"1 fl oz",0
