Produce,Vitamin_C_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,Vitamin_B6_mg,Folate_Total_µg,Vitamin_B12_µg,Vitamin_A_IU,Vitamin_D_µg,Vitamin_E_mg,Vitamin_K_µg
"ABALONE MIXED SPECIES",2,0.19,0.1,1.5,0.15,5,0.73,7,0,4,23
"ABALONE MXD SP",1.8,0.22,0.13,1.9,0.15,14,0.69,5,0,0,0
"ABIYUCH RAW",54.1,0,0,0,0,0,0,100,0,0,0
"ACEROLA (WEST INDIAN CHERRY)",1677.6,0.02,0.06,0.4,0.01,14,0,767,0,0,0
"ACEROLA JUICE RAW",1600,0.02,0.06,0.4,0,14,0,509,0,0.18,1.4
"ACORN FLOUR FULL FAT",0,0.15,0.15,2.38,0.69,114,0,51,0,0,0
"ACORN STEW (APACHE)",0,0.18,0.12,2.14,0.06,33,0.68,0,0,0.3,0
"ACORNS DRIED",0,0.15,0.15,2.41,0.7,115,0,0,0,0,0
"ACORNS RAW",0,0.11,0.12,1.83,0.53,87,0,39,0,0,0
"AGAVE CKD (SOUTHWEST)",0.3,0.01,0.1,0.16,0.09,3,0,113,0,0.36,4.9
"AGAVE DRIED (SOUTHWEST)",0.3,0.02,0.64,0.87,0.22,7,0,18,0,0.76,0.5
"AGAVE RAW (SOUTHWEST)",4,0.03,0.04,0.16,0.06,7,0,37,0,0.23,5.3
"AGUTUK FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",0,0.06,0.06,1.43,0,0,0,257,0,4,0
"AGUTUK FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",2.9,0.04,0.05,0.55,0.01,3,0,696,0,2.36,0
"AGUTUK MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",2.2,0.18,0.66,4.26,0.23,4,4.83,559,0,0,0
"ALCOHOLIC BEV BEER",0,0,0.01,0.18,0.02,2.57,0.01,0,0,0,0
"ALCOHOLIC BEV CREME DE MENTHE",0,0,0,0,0,0,0,0,0,0,0
"ALCOHOLIC BEV DAIQUIRI",1.45,0.01,0,0.03,0.01,1.5,0,3,0,0.02,0.05
"ALCOHOLIC BEV DISTILLED",0,0.01,0,0.01,0,0,0,0,0,0,0
"ALCOHOLIC BEV DISTILLED ALL (GIN",0,0.01,0,0.01,0,0,0,0,0,0,0
"ALCOHOLIC BEV LIQUEUR",0.07,0.01,0.03,0.12,0,0.67,0.03,206.67,0,0.15,0.43
"ALCOHOLIC BEV MALT BEER",2.8,0.01,0.01,0.22,0.02,4,0.01,0,0,0.02,0
"ALCOHOLIC BEV PINA COLADA",3.2,0.02,0.01,0.11,0.03,9,0,13,0,0.01,0.05
"ALCOHOLIC BEV RICE (SAKE)",0,0,0,0,0,0,0,0,0,0,0
"ALCOHOLIC BEV TEQUILA SUNRISE",19.3,0.04,0.02,0.19,0.05,11,0,97,0,0,0
"ALCOHOLIC BEV WHISKEY SOUR",1.3,0.01,0.01,0.01,0,0,0,7.75,0,0,0
"ALCOHOLIC BEV WINE",0,0,0,0.04,0.01,0.2,0,0.06,0,0,0.02
"ALCOHOLIC BEVERAGES BEER",0,0.03,0.09,1.1,0.09,18,0.02,0,0,0,0
"ALCOHOLIC BEVERAGES WINE",0,0.02,0.02,0.09,0.04,1,0.01,0,0,0,0
"ALFALFA SEEDS SPROUTED",8.2,0.08,0.13,0.48,0.03,36,0,155,0,0.02,30.5
"ALLSPICE GROUND",39.2,0.1,0.06,2.86,0.21,36,0,540,0,0,0
"ALMOND BUTTER PLN",0,0.04,0.94,3.16,0.1,53,0,1,0,24.21,0
"ALMOND PASTE",0.1,0.08,0.41,1.42,0.04,73,0,0,0,13.54,0
ALMONDS,0,0.2,1.14,3.62,0.14,44,0,2,0,25.63,0
"ALMONDS BLANCHED",0,0.19,0.71,3.5,0.12,49,0,7,0,23.75,0
"ALMONDS DRY RSTD",0,0.08,1.2,3.64,0.14,55,0,1,0,23.9,0
"ALMONDS HONEY RSTD",0.7,0.11,0.95,2.82,0.08,32,0,0,0,0,0
"ALMONDS OIL RSTD",0,0.09,0.78,3.66,0.12,27,0,1,0,25.97,0
"AMARANTH GRAIN CKD",0,0.02,0.02,0.24,0.11,22,0,0,0,0.19,0
"AMARANTH GRAIN UNCKD",4.2,0.12,0.2,0.92,0.59,82,0,2,0,1.19,0
"AMARANTH LEAVES CKD",41.1,0.02,0.13,0.56,0.18,57,0,2770,0,0,0
"AMARANTH LEAVES RAW",43.3,0.03,0.16,0.66,0.19,85,0,2917,0,0,1140
"ANCHOVY EUROPEAN",0,0.07,0.31,16.96,0.17,11,0.75,45,0.85,1.95,6.1
"ANDREA'S GLUTEN FREE SOFT DINNER ROLL",0,0.25,0,0,0.14,31,0,0,0,0.52,0
"ANIMAL FAT BACON GREASE",0,0,0,0,0,0,0,0,2.5,0.6,0
"ANISE SEED",21,0.34,0.29,3.06,0.65,10,0,311,0,0,0
"APPLE JUC CND OR BTLD",23.23,0.02,0.02,0.07,0.02,0,0,1,0,0.01,0
"APPLE JUC FRZ CONC",29.15,0.01,0.03,0.09,0.07,0.5,0,0,0,0.01,0
"APPLEBEE'S 9 OZ HOUSE SIRLOIN STEAK",0,0.05,0.29,4.9,0.57,0,2,22,0,0.37,0
"APPLEBEE'S CHICK TENDERS",0,0.1,0.18,7.89,0.48,0,0.15,72,0,1.28,25.1
"APPLEBEE'S CHICK TENDERS PLATTER",0,0.1,0.18,7.85,0.51,0,0.14,67,0,1.45,0
